Date,count_heard_inf,news_inflation,news_inflation_ratio,count_heard_unfav,unfav_inflation,unfav_inflation_ratio,count_heard_fav,fav_inflation,fav_inflation_ratio,count_up_or_down,go_up,go_up_same_rate,stay_same,go_down
1985.6666666666597,654,11,0.016819571865443424,654,8,0.012232415902140673,654,3,0.0045871559633027525,654,390,80,152,23
1985.749999999993,652,11,0.01687116564417178,652,7,0.010736196319018405,652,4,0.006134969325153374,652,436,63,134,13
1985.8333333333262,651,12,0.018433179723502304,651,10,0.015360983102918587,651,2,0.0030721966205837174,651,403,71,137,30
1985.9166666666595,652,13,0.019938650306748466,652,6,0.009202453987730062,652,7,0.010736196319018405,652,438,79,110,18
1985.9999999999927,656,13,0.019817073170731708,656,8,0.012195121951219513,656,5,0.007621951219512195,656,392,104,131,24
1986.083333333326,656,22,0.03353658536585366,656,12,0.018292682926829267,656,10,0.01524390243902439,656,367,98,136,45
1986.1666666666592,658,52,0.0790273556231003,658,26,0.03951367781155015,658,26,0.03951367781155015,658,304,111,151,86
1986.2499999999925,658,71,0.10790273556231003,658,22,0.03343465045592705,658,49,0.07446808510638298,658,308,111,161,68
1986.3333333333258,655,58,0.08854961832061069,655,30,0.04580152671755725,655,28,0.042748091603053436,655,321,113,164,45
1986.416666666659,658,24,0.0364741641337386,658,9,0.013677811550151976,658,15,0.022796352583586626,658,399,111,117,24
1986.4999999999923,665,23,0.03458646616541353,665,6,0.009022556390977444,665,17,0.02556390977443609,665,366,98,146,45
1986.5833333333255,653,33,0.05053598774885146,653,22,0.033690658499234305,653,11,0.016845329249617153,653,388,122,108,31
1986.6666666666588,659,22,0.03338391502276176,659,17,0.025796661608497723,659,5,0.007587253414264037,659,394,103,123,36
1986.749999999992,651,16,0.02457757296466974,651,8,0.01228878648233487,651,8,0.01228878648233487,651,402,87,127,24
1986.8333333333253,656,15,0.022865853658536585,656,8,0.012195121951219513,656,7,0.010670731707317074,656,387,113,121,31
1986.9166666666586,653,16,0.02450229709035222,653,13,0.019908116385911178,653,3,0.004594180704441042,653,410,102,92,38
1986.9999999999918,655,20,0.030534351145038167,655,11,0.016793893129770993,655,9,0.013740458015267175,655,411,112,102,23
1987.083333333325,657,13,0.0197869101978691,657,9,0.0136986301369863,657,4,0.0060882800608828,657,426,92,117,17
1987.1666666666583,652,18,0.027607361963190184,652,14,0.02147239263803681,652,4,0.006134969325153374,652,432,94,100,20
1987.2499999999916,652,17,0.02607361963190184,652,11,0.01687116564417178,652,6,0.009202453987730062,652,434,87,106,23
1987.3333333333248,651,10,0.015360983102918587,651,10,0.015360983102918587,651,0,0.0,651,448,95,90,11
1987.416666666658,654,20,0.03058103975535168,654,14,0.021406727828746176,654,6,0.009174311926605505,654,473,75,82,17
1987.4999999999914,651,33,0.05069124423963134,651,18,0.027649769585253458,651,15,0.02304147465437788,651,463,67,98,16
1987.5833333333246,654,27,0.04128440366972477,654,12,0.01834862385321101,654,15,0.022935779816513763,654,472,84,80,12
1987.6666666666579,650,9,0.013846153846153847,650,7,0.010769230769230769,650,2,0.003076923076923077,650,456,86,87,10
1987.7499999999911,500,6,0.012,500,1,0.002,500,5,0.01,500,336,83,63,12
1987.8333333333244,501,4,0.007984031936127744,501,4,0.007984031936127744,501,0,0.0,501,312,83,73,27
1987.9166666666576,500,6,0.012,500,6,0.012,500,0,0.0,500,324,69,81,19
1987.999999999991,502,15,0.029880478087649404,502,11,0.021912350597609563,502,4,0.00796812749003984,502,313,74,88,22
1988.0833333333242,500,6,0.012,500,3,0.006,500,3,0.006,500,328,77,73,15
1988.1666666666574,500,9,0.018,500,5,0.01,500,4,0.008,500,324,88,73,13
1988.2499999999907,504,10,0.01984126984126984,504,6,0.011904761904761904,504,4,0.007936507936507936,504,353,72,66,10
1988.333333333324,500,9,0.018,500,5,0.01,500,4,0.008,500,350,71,63,11
1988.4166666666572,500,9,0.018,500,6,0.012,500,3,0.006,500,367,59,59,12
1988.4999999999905,501,11,0.021956087824351298,501,6,0.011976047904191617,501,5,0.00998003992015968,501,424,33,34,7
1988.5833333333237,500,7,0.014,500,6,0.012,500,1,0.002,500,400,58,28,11
1988.666666666657,500,19,0.038,500,14,0.028,500,5,0.01,500,405,51,37,3
1988.7499999999902,501,16,0.031936127744510975,501,12,0.023952095808383235,501,4,0.007984031936127744,501,395,53,39,7
1988.8333333333235,508,15,0.02952755905511811,508,9,0.017716535433070866,508,6,0.011811023622047244,508,376,65,48,13
1988.9166666666567,500,12,0.024,500,8,0.016,500,4,0.008,500,383,61,46,6
1988.99999999999,501,8,0.015968063872255488,501,8,0.015968063872255488,501,0,0.0,501,384,65,39,7
1989.0833333333233,500,15,0.03,500,11,0.022,500,4,0.008,500,378,48,59,11
1989.1666666666565,502,18,0.035856573705179286,502,15,0.029880478087649404,502,3,0.00597609561752988,502,384,54,47,13
1989.2499999999898,500,26,0.052,500,23,0.046,500,3,0.006,500,418,41,32,7
1989.333333333323,503,20,0.039761431411530816,503,17,0.033797216699801194,503,3,0.005964214711729622,503,408,41,39,10
1989.4166666666563,507,17,0.03353057199211045,507,13,0.02564102564102564,507,4,0.007889546351084813,507,406,47,41,9
1989.4999999999895,501,11,0.021956087824351298,501,8,0.015968063872255488,501,3,0.005988023952095809,501,388,59,45,7
1989.5833333333228,502,20,0.0398406374501992,502,13,0.025896414342629483,502,7,0.013944223107569721,502,378,56,51,13
1989.666666666656,506,17,0.03359683794466403,506,9,0.017786561264822136,506,8,0.015810276679841896,506,369,75,48,11
1989.7499999999893,500,9,0.018,500,7,0.014,500,2,0.004,500,374,66,45,9
1989.8333333333226,502,18,0.035856573705179286,502,13,0.025896414342629483,502,5,0.0099601593625498,502,379,59,49,10
1989.9166666666558,500,14,0.028,500,13,0.026,500,1,0.002,500,364,74,46,15
1989.999999999989,500,15,0.03,500,14,0.028,500,1,0.002,500,385,50,42,14
1990.0833333333223,511,14,0.0273972602739726,511,8,0.015655577299412915,511,6,0.011741682974559686,511,384,53,58,14
1990.1666666666556,503,14,0.027833001988071572,503,11,0.02186878727634195,503,3,0.005964214711729622,503,379,63,45,14
1990.2499999999889,504,16,0.031746031746031744,504,12,0.023809523809523808,504,4,0.007936507936507936,504,393,54,44,12
1990.3333333333221,504,11,0.021825396825396824,504,9,0.017857142857142856,504,2,0.003968253968253968,504,387,51,60,5
1990.4166666666554,500,7,0.014,500,6,0.012,500,1,0.002,500,380,61,46,8
1990.4999999999886,500,11,0.022,500,7,0.014,500,4,0.008,500,390,53,46,9
1990.583333333322,500,27,0.054,500,24,0.048,500,3,0.006,500,415,39,36,8
1990.6666666666551,502,39,0.07768924302788845,502,36,0.07171314741035857,502,3,0.00597609561752988,502,424,29,34,14
1990.7499999999884,503,54,0.1073558648111332,503,54,0.1073558648111332,503,0,0.0,503,423,28,35,13
1990.8333333333217,501,35,0.06986027944111776,501,35,0.06986027944111776,501,0,0.0,501,391,33,49,24
1990.916666666655,504,33,0.06547619047619048,504,32,0.06349206349206349,504,1,0.001984126984126984,504,360,44,55,44
1990.9999999999882,531,22,0.04143126177024482,531,16,0.030131826741996232,531,6,0.011299435028248588,531,368,46,60,52
1991.0833333333214,504,16,0.031746031746031744,504,13,0.025793650793650792,504,3,0.005952380952380952,504,309,57,89,45
1991.1666666666547,504,14,0.027777777777777776,504,5,0.00992063492063492,504,9,0.017857142857142856,504,291,72,104,33
1991.249999999988,501,12,0.023952095808383235,501,5,0.00998003992015968,501,7,0.013972055888223553,501,313,66,84,37
1991.3333333333212,500,7,0.014,500,2,0.004,500,5,0.01,500,296,80,85,35
1991.4166666666545,501,10,0.01996007984031936,501,6,0.011976047904191617,501,4,0.007984031936127744,501,322,73,76,25
1991.4999999999877,502,4,0.00796812749003984,502,2,0.00398406374501992,502,2,0.00398406374501992,502,322,64,89,24
1991.583333333321,500,12,0.024,500,8,0.016,500,4,0.008,500,304,74,88,30
1991.6666666666542,500,5,0.01,500,2,0.004,500,3,0.006,500,309,78,83,26
1991.7499999999875,504,4,0.007936507936507936,504,1,0.001984126984126984,504,3,0.005952380952380952,504,314,74,80,29
