Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
1985.9999999999945,9120.0,1059.0,18.0,0.0,6.0,12.0,12.0
1986.0833333333278,8772.0,996.0,24.0,5.0,4.0,15.0,10.0
1986.166666666661,9056.0,1295.0,25.0,3.0,4.0,18.0,15.0
1986.2499999999943,9951.0,1367.0,21.0,2.0,1.0,18.0,16.0
1986.3333333333276,9808.0,1217.0,19.0,2.0,3.0,14.0,12.0
1986.4166666666608,8523.0,1232.0,21.0,0.0,5.0,16.0,16.0
1986.499999999994,9077.0,1002.0,13.0,3.0,0.0,10.0,7.0
1986.5833333333273,9559.0,969.0,16.0,3.0,2.0,11.0,8.0
1986.6666666666606,8474.0,997.0,29.0,3.0,4.0,22.0,19.0
1986.7499999999939,10217.0,922.0,7.0,1.0,1.0,5.0,4.0
1986.8333333333271,9770.0,856.0,9.0,3.0,0.0,6.0,3.0
1986.9166666666604,8416.0,882.0,10.0,0.0,1.0,9.0,9.0
1986.9999999999936,9138.0,970.0,3.0,2.0,0.0,1.0,-1.0
1987.083333333327,8647.0,832.0,8.0,5.0,0.0,3.0,-2.0
1987.1666666666601,8937.0,938.0,8.0,1.0,4.0,3.0,2.0
1987.2499999999934,9554.0,931.0,14.0,5.0,4.0,5.0,0.0
1987.3333333333267,9968.0,909.0,11.0,10.0,1.0,0.0,-10.0
1987.41666666666,8047.0,850.0,5.0,2.0,1.0,2.0,0.0
1987.4999999999932,8555.0,939.0,11.0,2.0,4.0,5.0,3.0
1987.5833333333264,9150.0,922.0,13.0,7.0,5.0,1.0,-6.0
1987.6666666666597,8345.0,881.0,11.0,5.0,1.0,5.0,0.0
1987.749999999993,9486.0,805.0,8.0,3.0,2.0,3.0,0.0
1987.8333333333262,10031.0,868.0,3.0,1.0,1.0,1.0,0.0
1987.9166666666595,8353.0,899.0,7.0,2.0,3.0,2.0,0.0
